"Data";"Cambio"
2004-09-28;2,8692
2004-09-29;2,8602
2004-09-30;2,8586
2004-10-01;2,8513
2004-10-04;2,8265
2004-10-05;2,8241
2004-10-06;2,8362
2004-10-07;2,8518
2004-10-08;2,8251
2004-10-11;2,8318
2004-10-13;2,8374
2004-10-14;2,8631
2004-10-15;2,8623
2004-10-18;2,8547
2004-10-19;2,8706
2004-10-20;2,8847
2004-10-21;2,8535
2004-10-22;2,8489
2004-10-25;2,8817
2004-10-26;2,8729
2004-10-27;2,8585
2004-10-28;2,8655
2004-10-29;2,8565
2004-11-01;2,859
2004-11-03;2,8304
2004-11-04;2,8211
2004-11-05;2,8186
2004-11-08;2,8299
2004-11-09;2,8287
2004-11-10;2,8209
2004-11-11;2,82
2004-11-12;2,7991
2004-11-16;2,7856
2004-11-17;2,7674
2004-11-18;2,7603
2004-11-19;2,7637
2004-11-22;2,7678
2004-11-23;2,7446
2004-11-24;2,7485
2004-11-25;2,7511
2004-11-26;2,7332
2004-11-29;2,7402
2004-11-30;2,7307
2004-12-01;2,7145
2004-12-02;2,7239
2004-12-03;2,7095
2004-12-06;2,7186
2004-12-07;2,7322
2004-12-08;2,7664
2004-12-09;2,7744
2004-12-10;2,7867
2004-12-13;2,7697
2004-12-14;2,758
2004-12-15;2,7508
2004-12-16;2,7293
2004-12-17;2,7247
2004-12-20;2,6927
2004-12-21;2,6892
2004-12-22;2,699
2004-12-23;2,7067
2004-12-24;2,6912
2004-12-27;2,6983
2004-12-28;2,6895
2004-12-29;2,6836
2004-12-30;2,6544
2004-12-31;2,6544
2005-01-03;2,6682
2005-01-04;2,6887
2005-01-05;2,7096
2005-01-06;2,7207
2005-01-07;2,7032
2005-01-10;2,6973
2005-01-11;2,7106
2005-01-12;2,7113
2005-01-13;2,7011
2005-01-14;2,7074
2005-01-17;2,7007
2005-01-18;2,7139
2005-01-19;2,7185
2005-01-20;2,7222
2005-01-21;2,6999
2005-01-24;2,678
2005-01-25;2,6794
2005-01-26;2,6748
2005-01-27;2,6645
2005-01-28;2,6587
2005-01-31;2,6248
2005-02-01;2,613
2005-02-02;2,624
2005-02-03;2,6034
2005-02-04;2,603
2005-02-09;2,6078
2005-02-10;2,6122
2005-02-11;2,6173
2005-02-14;2,5834
2005-02-15;2,5762
2005-02-16;2,5926
2005-02-17;2,5737
2005-02-18;2,5621
2005-02-21;2,5762
2005-02-22;2,5937
2005-02-23;2,5857
2005-02-24;2,6098
2005-02-25;2,632
2005-02-28;2,595
2005-03-01;2,6011
2005-03-02;2,6368
2005-03-03;2,6698
2005-03-04;2,6615
2005-03-07;2,6624
2005-03-08;2,6934
2005-03-09;2,7113
2005-03-10;2,7319
2005-03-11;2,7021
2005-03-14;2,7523
2005-03-15;2,7621
2005-03-16;2,757
2005-03-17;2,7522
2005-03-18;2,7163
2005-03-21;2,7288
2005-03-22;2,706
